ILE,ISOLEUCINE
LEU,LEUCINE
LYS,LYSINE
MET,METHIONINE
PHE,PHENYLALANINE
PRO,PROLINE
THR,THREONINE
TRP,TRYPTOPHAN
TYR,TYROSINE
VAL,VALINE
CSD,3-SULFINOALANINE
MLZ,N-METHYL-LYSINE
PG4,TETRAETHYLENE GLYCOL
1PE,PENTAETHYLENE GLYCOL
N,C5 H11 O7 P
UNK,C4 H9 N O2
NCO,Co H18 N6
IRI,H18 Ir N6
SCN,C N S
CAC,C2 H6 As O2
CU1,Cu
VO4,O4 V
OAA,C4 H3 O5
IUM,O2 U
EMC,C2 H5 Hg
AR,Ar
EU3,Eu
2PO,H O3 P
GA,Ga
RE,Re
RH3,Rh
SE4,O4 Se
PT4,Pt
PBM,C3 H9 Pb
D8U,D
ER3,Er
RHD,H18 N6 Rh
VN3,O3 V
RH,Rh
TH,Th
4TI,Ti
BS3,Bi
PTN,H9 N3 Pt
ND4,N
AM,Am
0BE,Be
TCN,C4 N4 Ni
CF,Cf
CUL,Cl2 Cu
ZCM,Cm
DY,Dy
SFL,F4 Sc
PDV,H O7 V2
IN,In
OS4,Os
4PU,Pu
TA0,Ta
YB2,Yb
ZR,Zr
MPD,C6 H14 O2
IPA,C3 H8 O
MRD,C6 H14 O2
TLA,C4 H6 O6
UNL,
P6G,C12 H26 O7
POP,H2 O7 P2
F3S,Fe3 S4
BTB,C8 H19 N O5
DTT,C4 H10 O2 S2
NHE,C8 H17 N O3 S
DIO,C4 H8 O2
MLA,C3 H4 O4
PGO,C3 H8 O2
2PE,C18 H38 O10
B3P,C11 H26 N2 O6
PE4,C16 H34 O8
TAR,C4 H6 O6
PPV,H4 O7 P2
TAM,C7 H17 N O3
PG0,C5 H12 O3
0QE,C H3 Cl
P33,C14 H30 O8
AF3,Al F3
BO3,B H3 O3
ICS,C Fe7 Mo S9
TBR,Br12 Ta6
TAS,As H3 O3
2T8,C Cl4 Ir O2
AST,As O3
ART,As O4
BF2,Be F2
6BP,Br6 Pt
D6N,C Fe7 N S7 V
ICE,C Fe7 Mo S8
8AR,As H O4
0KA,Ag Fe3 S4
RMO,As H Mo O3 S
HG2,Br2 Hg
82N,C Fe3 N Ni S4
ICH,C Fe7 Mo S6 Se3
ICZ,C Fe7 Mo S7
ICG,C Fe7 Mo S8 Se
8P8,C Fe7 S8 V
NOB,B2 H3 Li O5
202,Br H O3
DOD,D2 O
1PG,C11 H24 O6
15P,C69 H140 O35
12P,C24 H50 O13
PG6,C12 H26 O6
PE5,C18 H38 O9
PE8,C16 H34 O9
7PE,C14 H30 O7
PE3,C28 H58 O15
PG5,C8 H18 O4
ETE,C9 H20 O5
XPE,C20 H42 O11
PEU,C55 H112 O28
P15,C13 H28 O7
7PG,C17 H36 O9
P4K,C30 H62 O15
33O,C26 H54 O14
9FO,C40 H82 O21
